case_no,player,team,games,minutes,x2P,x3P,TRB,AST,STL,BLK
234,Kelly Oubre,WAS,81,2231,0.086060063,0.056476916,0.162707306,0.04392649,0.035858359,0.015688032
235,Aron Baynes,BOS,81,1485,0.139393939,0.002020202,0.292255892,0.062626263,0.014814815,0.034343434
236,Norman Powell,TOR,70,1062,0.0913371,0.049905838,0.112052731,0.083804143,0.034839925,0.015065913
237,Kyle Korver,CLE,73,1574,0.036848793,0.104193139,0.104828463,0.055908513,0.019695044,0.017153748
238,Luke Kennard,DET,73,1463,0.085440875,0.055365687,0.120300752,0.084757348,0.030075188,0.008885851
239,Spencer Dinwiddie,BRK,80,2306,0.079358196,0.06114484,0.112315698,0.227233304,0.029488291,0.009973981
240,Jodie Meeks,WAS,77,1119,0.075960679,0.064343164,0.112600536,0.062555853,0.025915996,0.00357462
241,Delon Wright,TOR,69,1433,0.101186322,0.039078856,0.138171668,0.139567341,0.050244243,0.023028611
242,Jonas Jerebko,UTA,74,1134,0.082892416,0.057319224,0.216931217,0.037037037,0.021164021,0.010582011
243,Tarik Black,HOU,51,536,0.138059701,0.001865672,0.304104478,0.024253731,0.039179104,0.055970149
244,Marcin Gortat,WAS,82,2075,0.139759036,0,0.300240964,0.072771084,0.019277108,0.02939759
245,Isaiah Taylor,ATL,67,1167,0.122536418,0.017137961,0.080548415,0.176520994,0.029134533,0.00856898
246,Wayne Ellington,MIA,77,2041,0.028417442,0.11121999,0.106810387,0.038706516,0.025967663,0.003919647
247,Devin Harris,TOT,71,1340,0.080597015,0.058955224,0.094776119,0.113432836,0.035074627,0.008955224
248,Gorgui Dieng,MIN,79,1333,0.12528132,0.014253563,0.270067517,0.053263316,0.03375844,0.029257314
249,T.J. Leaf,IND,53,459,0.100217865,0.039215686,0.178649237,0.019607843,0.010893246,0.008714597
250,Danuel House,PHO,23,403,0.101736973,0.037220844,0.188585608,0.062034739,0.017369727,0.014888337
251,Jamil Wilson,LAC,15,274,0.040145985,0.098540146,0.116788321,0.03649635,0.018248175,0.02919708
252,D.J. Augustin,ORL,75,1760,0.073863636,0.064772727,0.090909091,0.163068182,0.030681818,0
253,Raul Neto,UTA,41,498,0.100401606,0.03815261,0.098393574,0.15060241,0.026104418,0.008032129
254,Kentavious Caldwell-Pope,LAL,74,2458,0.073637103,0.064686737,0.157445077,0.065907242,0.043124491,0.006509357
255,Bryn Forbes,SAS,80,1517,0.079103494,0.058668425,0.072511536,0.052735662,0.018457482,0.001318392
256,Tyler Ennis,LAL,54,683,0.117130307,0.020497804,0.13909224,0.153733529,0.043923865,0.014641288
257,Isaiah Hicks,NYK,18,240,0.129166667,0.008333333,0.170833333,0.066666667,0.008333333,0.016666667
258,Jordan Mickey,MIA,23,284,0.13028169,0.007042254,0.288732394,0.031690141,0.021126761,0.035211268
259,Andrew Harrison,MEM,56,1326,0.101055807,0.035444947,0.098793363,0.133484163,0.028657617,0.019607843
260,Nicolas Batum,CHO,64,1981,0.089853609,0.046441191,0.154467441,0.17617365,0.032811711,0.011610298
261,Yogi Ferrell,DAL,82,2282,0.077563541,0.058720421,0.109114812,0.088080631,0.028045574,0.003943909
262,Robert Covington,PHI,80,2532,0.056082148,0.080173776,0.171011058,0.061611374,0.054107425,0.028436019
263,Emeka Okafor,NOP,26,353,0.135977337,0,0.339943343,0.02266289,0.02266289,0.07082153
264,Gary Payton,TOT,23,221,0.108597285,0.027149321,0.199095023,0.095022624,0.031674208,0.013574661
265,Cody Zeller,CHO,33,627,0.132376396,0.003189793,0.282296651,0.049441786,0.022328549,0.033492823
266,Rajon Rondo,NOP,65,1705,0.106158358,0.029325513,0.154252199,0.312609971,0.041055718,0.005865103
267,Mike Muscala,ATL,53,1060,0.076415094,0.058490566,0.216981132,0.048113208,0.029245283,0.025471698
268,Daniel Theis,BOS,63,936,0.115384615,0.019230769,0.292735043,0.05982906,0.032051282,0.051282051
269,Doug McDermott,TOT,81,1768,0.082013575,0.052036199,0.113122172,0.044683258,0.010746606,0.009049774
270,Cedi Osman,CLE,61,672,0.086309524,0.047619048,0.178571429,0.061011905,0.032738095,0.004464286
271,Milos Teodosic,LAC,45,1134,0.055555556,0.077601411,0.111111111,0.184303351,0.020282187,0.004409171
272,Jarell Martin,MEM,73,1661,0.112582781,0.020469597,0.191450933,0.043949428,0.023479831,0.029500301
273,Patty Mills,SAS,82,2107,0.059800664,0.073089701,0.073089701,0.108685335,0.026103465,0.005220693
274,Wesley Matthews,DAL,63,2131,0.061004223,0.071797278,0.092914125,0.08071328,0.035664008,0.007508212
275,Marquese Chriss,PHO,72,1527,0.095612312,0.036673215,0.258677145,0.054354944,0.033398821,0.045841519
276,Brandon Jennings,MIL,14,205,0.087804878,0.043902439,0.151219512,0.214634146,0.029268293,0.019512195
277,Shelvin Mack,ORL,69,1365,0.095238095,0.035164835,0.121611722,0.199267399,0.03956044,0.005860806
278,George Hill,TOT,67,1812,0.083333333,0.046909492,0.099889625,0.102649007,0.033664459,0.014900662
279,Cristiano Felicio,CHI,55,977,0.129989765,0,0.238485159,0.05629478,0.016376663,0.011258956
280,Joe Ingles,UTA,82,2578,0.050814585,0.079131109,0.133436773,0.152055857,0.034910784,0.007757952
281,Jae Crowder,TOT,80,2090,0.077033493,0.052631579,0.131578947,0.047368421,0.03062201,0.010047847
